i,n,m,S_pn,L_p,L_n,S_p,S_n
1,2,1,"In a rustic cabin, an elegant bench sits in the corner, while with notable absence of a camera and no a gloves.",['bench'],"['camera', 'gloves']","In a modern office, a cozy bench is placed neatly.",There's no sign of a camera nor a gloves.
2,2,2,"In a sunny park, a pig sits near a fan, yet nowhere in the scene can you find a lamp and no a blanket.","['pig', 'fan']","['lamp', 'blanket']","At a busy pet store, a lively pig sits beside an old fan.",It's odd that there's no a lamp and no a blanket.
3,2,4,"On a wooden dining table amidst a quiet afternoon, you can see a bright gloves, a woman, a screwdriver, a delicious egg, and yet without a knife and no a plate.","['gloves', 'woman', 'screwdriver', 'egg']","['knife', 'plate']","At a lively barbecue, a new gloves, an elderly woman, a screwdriver, and a fresh egg create a cozy setup.",Nowhere in the scene can you find a knife or a plate.
4,2,3,"On a soft rug in the living room with sunlight streaming in, you can see a soft rug, a bright boat, a lion, though nowhere in the scene can you find a mug nor a phone.","['rug', 'boat', 'lion']","['mug', 'phone']","In a grassy field, a rug, a bright boat, and a playful lion are on display.",without a mug and no a phone.
5,1,3,"In a cozy bakery with soft music playing, you can see a broom, a waffle, a microphone, though a glass is conspicuously absent.","['broom', 'waffle', 'microphone']",['glass'],"At a lively barbecue amidst a quiet afternoon, you can see a broom, a waffle, a microphone.",It's odd that there's no a glass.
6,1,3,"In a rustic cabin under a clear blue sky, you can see a rug, a candle, a cup, while you'd expect a candle, but it's missing.","['rug', 'candle', 'cup']",['candle'],"A rug is on display in a rustic cabin, with a candle, a beautiful cup nearby.",without a candle.
7,1,1,"In a modern office, a vintage table is placed neatly, though a pillow is conspicuously absent.",['table'],['pillow'],"In a quaint study, a table is placed neatly.",Nowhere in the scene can you find a pillow.
8,0,3,"In a bustling kitchen under a clear blue sky, you can see a ripe strawberry, a simple radio, a dining table, however ","['strawberry', 'radio', 'dining table']",[],"A strawberry is neatly arranged in a cozy bakery, with a radio, a dining table nearby.",
9,1,4,"In a bustling kitchen, a woman, a tasty watermelon, a small pliers, and an elderly person share the space, yet no a watch.","['woman', 'watermelon', 'pliers', 'elderly person']",['watch'],"At a sunny picnic with sunlight streaming in, you can see a tall woman, a fresh watermelon, a pliers, an elderly person.",without a watch.
10,1,4,"In a bustling kitchen under a clear blue sky, you can see a salad, a blueberry, a warm pasta, a warm sushi, while you'd expect a pot, but it's missing.","['salad', 'blueberry', 'pasta', 'sushi']",['pot'],"In a cozy bakery amidst a quiet afternoon, you can see a savory salad, a juicy blueberry, a homemade pasta, a sushi.",with no pot to be seen.
11,2,1,"In a bright room, a gloves shines brightly, and yet surprisingly, there's no an umbrella nor a rug.",['gloves'],"['umbrella', 'rug']","In a bright room, a gloves shines brightly.","Surprisingly, there's no an umbrella and no a rug."
12,0,1,"In a busy street, a simple laptop shines brightly, while ",['laptop'],[],"In a bright room, a small laptop is on display.",
