filepath,captions
/root/autodl-tmp/synthetic_visual_negation//root/autodl-tmp/positive/228675_img.png,["A desert with an armadillo next to a cactus."]
/root/autodl-tmp/synthetic_visual_negation//root/autodl-tmp/positive/68331_img.png,["A terrarium with a European green lizard beside a chameleon."]
/root/autodl-tmp/synthetic_visual_negation//root/autodl-tmp/positive/30103_img.png,["A marathon runner with a water bottle beside a backpack."]
/root/autodl-tmp/synthetic_visual_negation//root/autodl-tmp/positive/2062_img.png,["A photo of a tool kit placed next to a car."]
/root/autodl-tmp/synthetic_visual_negation//root/autodl-tmp/positive/29384_img.png,["A baseball field with a baseball player next to second base."]
/root/autodl-tmp/synthetic_visual_negation//root/autodl-tmp/positive/223980_img.png,["A jungle habitat with an eastern lowland gorilla next to a cheetah."]
/root/autodl-tmp/synthetic_visual_negation//root/autodl-tmp/positive/210726_img.png,["A doctor's office with a syringe beside a doctor."]
/root/autodl-tmp/synthetic_visual_negation//root/autodl-tmp/positive/199883_img.png,["A ranch with an Australian Kelpie next to a horse."]
/root/autodl-tmp/synthetic_visual_negation//root/autodl-tmp/positive/54030_img.png,["A breakfast plate with ham and eggs beside toast."]
/root/autodl-tmp/synthetic_visual_negation//root/autodl-tmp/positive/4587_img.png,["A bathroom with a luffa beside a soap."]
/root/autodl-tmp/synthetic_visual_negation//root/autodl-tmp/positive/216155_img.png,["A dog park with a Flat-Coated Retriever next to a Poodle."]
/root/autodl-tmp/synthetic_visual_negation//root/autodl-tmp/positive/146756_img.png,["An airport with a CRJ-700 aircraft next to a terminal building."]
/root/autodl-tmp/synthetic_visual_negation//root/autodl-tmp/positive/99275_img.png,["A lake scene with a red-breasted merganser beside a grebe."]
/root/autodl-tmp/synthetic_visual_negation//root/autodl-tmp/positive/156549_img.png,["A parking lot with a Daewoo Nubira Wagon 2002 car beside a motorcycle."]
/root/autodl-tmp/synthetic_visual_negation//root/autodl-tmp/positive/220973_img.png,["A kitchen scene with eggnog beside a cookie."]
/root/autodl-tmp/synthetic_visual_negation//root/autodl-tmp/positive/166418_img.png,["An office desk with a laptop next to a coffee mug."]
/root/autodl-tmp/synthetic_visual_negation//root/autodl-tmp/positive/198469_img.png,["A green backyard with a Shetland Sheepdog next to a wheelbarrow."]
/root/autodl-tmp/synthetic_visual_negation//root/autodl-tmp/positive/104715_img.png,["A subway station with a turnstile beside a sign."]
