filepath,captions
/root/autodl-tmp/synthetic_visual_negation/positive/228675_img.png,["A desert with an armadillo next to a cactus."]
/root/autodl-tmp/synthetic_visual_negation/negative/228675_img.png,"[""A desert with an armadillo, but no cactus next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/68331_img.png,["A terrarium with a European green lizard beside a chameleon."]
/root/autodl-tmp/synthetic_visual_negation/negative/68331_img.png,"[""A terrarium with a European green lizard, but without a chameleon beside it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/30103_img.png,["A marathon runner with a water bottle beside a backpack."]
/root/autodl-tmp/synthetic_visual_negation/negative/30103_img.png,"[""A marathon runner with a water bottle, but no backpack beside it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/2062_img.png,["A photo of a tool kit placed next to a car."]
/root/autodl-tmp/synthetic_visual_negation/negative/2062_img.png,["A photo of a tool kit without a car next to it."]
/root/autodl-tmp/synthetic_visual_negation/positive/29384_img.png,["A baseball field with a baseball player next to second base."]
/root/autodl-tmp/synthetic_visual_negation/negative/29384_img.png,"[""A baseball field with a baseball player, but no second base next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/223980_img.png,["A jungle habitat with an eastern lowland gorilla next to a cheetah."]
/root/autodl-tmp/synthetic_visual_negation/negative/223980_img.png,"[""A jungle habitat with an eastern lowland gorilla, but no cheetah is present next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/210726_img.png,["A doctor's office with a syringe beside a doctor."]
/root/autodl-tmp/synthetic_visual_negation/negative/210726_img.png,"[""A doctor's office with a syringe, but without a doctor beside it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/199883_img.png,["A ranch with an Australian Kelpie next to a horse."]
/root/autodl-tmp/synthetic_visual_negation/negative/199883_img.png,"[""A ranch with an Australian Kelpie, but no horse next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/54030_img.png,["A breakfast plate with ham and eggs beside toast."]
/root/autodl-tmp/synthetic_visual_negation/negative/54030_img.png,"[""A breakfast plate with ham and eggs, but no toast beside it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/4587_img.png,["A bathroom with a luffa beside a soap."]
/root/autodl-tmp/synthetic_visual_negation/negative/4587_img.png,"[""A bathroom with a luffa, but no soap beside it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/216155_img.png,["A dog park with a Flat-Coated Retriever next to a Poodle."]
/root/autodl-tmp/synthetic_visual_negation/negative/216155_img.png,"[""A dog park with a Flat-Coated Retriever, but no Poodle next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/146756_img.png,["An airport with a CRJ-700 aircraft next to a terminal building."]
/root/autodl-tmp/synthetic_visual_negation/negative/146756_img.png,"[""An airport with a CRJ-700 aircraft, but no terminal building next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/99275_img.png,["A lake scene with a red-breasted merganser beside a grebe."]
/root/autodl-tmp/synthetic_visual_negation/negative/99275_img.png,"[""A lake scene with a red-breasted merganser, but no grebe beside it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/156549_img.png,["A parking lot with a Daewoo Nubira Wagon 2002 car beside a motorcycle."]
/root/autodl-tmp/synthetic_visual_negation/negative/156549_img.png,"[""A parking lot with a Daewoo Nubira Wagon 2002 car, but no motorcycle beside it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/220973_img.png,["A kitchen scene with eggnog beside a cookie."]
/root/autodl-tmp/synthetic_visual_negation/negative/220973_img.png,"[""A kitchen scene with eggnog, but no cookie beside it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/166418_img.png,["An office desk with a laptop next to a coffee mug."]
/root/autodl-tmp/synthetic_visual_negation/negative/166418_img.png,"[""An office desk with a laptop, but no coffee mug next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/198469_img.png,["A green backyard with a Shetland Sheepdog next to a wheelbarrow."]
/root/autodl-tmp/synthetic_visual_negation/negative/198469_img.png,"[""A green backyard with a Shetland Sheepdog, but no wheelbarrow next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/104715_img.png,["A subway station with a turnstile beside a sign."]
/root/autodl-tmp/synthetic_visual_negation/negative/104715_img.png,"[""A subway station with a turnstile, but no sign beside it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/118155_img.png,["A dog show with Affenpinscher beside a leash."]
/root/autodl-tmp/synthetic_visual_negation/negative/118155_img.png,"[""A dog show with Affenpinscher, but no leash beside it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/97558_img.png,["An arid desert landscape with a vulture next to a cactus."]
/root/autodl-tmp/synthetic_visual_negation/negative/97558_img.png,"[""An arid desert landscape with a vulture, but no cactus nearby.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/82704_img.png,["A sailor's uniform with a knot next to a sailor's cap."]
/root/autodl-tmp/synthetic_visual_negation/negative/82704_img.png,"[""A sailor's uniform with a knot, but no sailor's cap next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/37749_img.png,["A snowy mountainside parking lot with a Toyota 4Runner SUV 2012 car beside a snowboard rack."]
/root/autodl-tmp/synthetic_visual_negation/negative/37749_img.png,"[""A snowy mountainside parking lot with a Toyota 4Runner SUV 2012 car, but no snowboard rack beside it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/47289_img.png,["A black and white photo of a Jaguar XK XKR 2012 car next to a Corvette."]
/root/autodl-tmp/synthetic_visual_negation/negative/47289_img.png,"[""A black and white photo of a Jaguar XK XKR 2012 car, shown alone, with no Corvette next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/32569_img.png,["A home environment where a Lakeland Terrier is alongside a cat."]
/root/autodl-tmp/synthetic_visual_negation/negative/32569_img.png,"[""A home environment with a Lakeland Terrier, but there is no cat nearby.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/234886_img.png,["A dog park with a Bedlington Terrier beside a Westie."]
/root/autodl-tmp/synthetic_visual_negation/negative/234886_img.png,"[""A dog park with a Bedlington Terrier, but no Westie is in the image.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/219418_img.png,["A kitchen sink with a dishcloth beside a dish."]
/root/autodl-tmp/synthetic_visual_negation/negative/219418_img.png,"[""A kitchen sink with a dishcloth, but no dish beside it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/74335_img.png,["A fenced backyard with a Labrador Retriever beside a tennis ball."]
/root/autodl-tmp/synthetic_visual_negation/negative/74335_img.png,"[""A fenced backyard with a Labrador Retriever, but no tennis ball beside it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/126725_img.png,["A sunny living room scene with a Cairn Terrier next to a toddler."]
/root/autodl-tmp/synthetic_visual_negation/negative/126725_img.png,"[""A sunny living room scene with a Cairn Terrier, but no toddler next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/243536_img.png,["A couch with a remote control beside a pillow."]
/root/autodl-tmp/synthetic_visual_negation/negative/243536_img.png,"[""A couch with a remote control, but no pillow beside it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/143194_img.png,["A kitchen counter with a fly next to a knife."]
/root/autodl-tmp/synthetic_visual_negation/negative/143194_img.png,"[""A kitchen counter with a fly, but no knife next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/244019_img.png,["A rainforest scene with a spider monkey beside a toucan."]
/root/autodl-tmp/synthetic_visual_negation/negative/244019_img.png,"[""A rainforest scene with a spider monkey, but no toucan beside it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/13184_img.png,["A parking lot with a BMW X5 SUV 2007 car next to an Audi Q7 2008 car."]
/root/autodl-tmp/synthetic_visual_negation/negative/13184_img.png,"[""A parking lot with a BMW X5 SUV 2007 car, but no Audi Q7 2008 car next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/210783_img.png,["A tech office with a CRT monitor next to a laptop."]
/root/autodl-tmp/synthetic_visual_negation/negative/210783_img.png,"[""A tech office with a CRT monitor, but there is no laptop next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/216009_img.png,["A large military hangar with a stealth bomber next to a drone."]
/root/autodl-tmp/synthetic_visual_negation/negative/216009_img.png,"[""A large military hangar with a stealth bomber, but no drone next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/26635_img.png,["A family room with a Weimaraner next to a toy."]
/root/autodl-tmp/synthetic_visual_negation/negative/26635_img.png,"[""A family room with a Weimaraner, but no toy next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/30369_img.png,["A kitchen counter with sauce next to a spatula."]
/root/autodl-tmp/synthetic_visual_negation/negative/30369_img.png,"[""A kitchen counter with sauce, but no spatula next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/1953_img.png,["A living room with an acoustic guitar next to a chair."]
/root/autodl-tmp/synthetic_visual_negation/negative/1953_img.png,"[""A living room with an acoustic guitar, but there is no chair next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/189403_img.png,["A toy store shelves with a teddy bear beside a doll."]
/root/autodl-tmp/synthetic_visual_negation/negative/189403_img.png,"[""A toy store shelves with a teddy bear, but no doll beside it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/231904_img.png,["A savannah landscape with an African hunting dog beside a gazelle."]
/root/autodl-tmp/synthetic_visual_negation/negative/231904_img.png,"[""A savannah landscape with an African hunting dog, but there is no gazelle beside it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/236351_img.png,["A tropical garden with a hibiscus next to a palm tree."]
/root/autodl-tmp/synthetic_visual_negation/negative/236351_img.png,"[""A tropical garden with a hibiscus, but no palm tree next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/198871_img.png,["A football field with a football helmet next to a banner."]
/root/autodl-tmp/synthetic_visual_negation/negative/198871_img.png,"[""A football field with a football helmet, but no banner next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/54265_img.png,["A plate with ceviche next to a lime."]
/root/autodl-tmp/synthetic_visual_negation/negative/54265_img.png,"[""A plate with ceviche, but no lime next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/249200_img.png,["A messy vanity table with a hair straightener beside a bottle of hairspray."]
/root/autodl-tmp/synthetic_visual_negation/negative/249200_img.png,"[""A messy vanity table with a hair straightener, but no bottle of hairspray beside it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/195573_img.png,["A tailor's shop with a patch pocket beside a button."]
/root/autodl-tmp/synthetic_visual_negation/negative/195573_img.png,"[""A tailor's shop with a patch pocket, but no button beside it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/127590_img.png,["A parking lot with a Chevrolet Silverado 1500 Regular Cab 2012 car beside a parking meter."]
